name,profile_url,place_of_birth,longitude,latitude,popularity
Al Pacino,https://www.themoviedb.org/person/1158,New York City New York USA,-74.0060152,40.7127281,7962.9535711449535
Michelle Pfeiffer,https://www.themoviedb.org/person/1160,Santa Ana California USA,-117.8732213,33.7494951,2617.1902115222492
Mary Elizabeth Mastrantonio,https://www.themoviedb.org/person/1161,Lombard Illinois USA,-88.0201536,41.8864687,104.88274826054531
Robert Loggia,https://www.themoviedb.org/person/1162,Staten Island New York USA,-74.1496048,40.5834557,1807.0969242683984
F. Murray Abraham,https://www.themoviedb.org/person/1164,Pittsburgh Pennsylvania USA,-80.6243098,40.3693889,1981.8040750890757
Paul Shenar,https://www.themoviedb.org/person/1165,Milwaukee Wisconsin USA,-87.922497,43.0349931,74.71771593951527
Harris Yulin,https://www.themoviedb.org/person/1166, Los Angeles California USA,-118.242766,34.0536909,477.61064433738215
Pepe Serna,https://www.themoviedb.org/person/1169,Corpus Christi Texas USA,-97.3942053,27.7951482,212.7906260354966
Al Israel,https://www.themoviedb.org/person/1171,Manhattan New York USA,-73.9598939,40.7896239,536.2885357787521
Dennis Holahan,https://www.themoviedb.org/person/1172,Stamford Connecticut USA,-73.5387341,41.0534302,68.85840209367113
Mark Margolis,https://www.themoviedb.org/person/1173,Philadelphia Pennsylvania USA ,-75.1635262,39.9527237,702.5085242820384
Garry Marshall,https://www.themoviedb.org/person/1201,New York City New York USA,-74.0060152,40.7127281,153.52141189135284
Julia Roberts,https://www.themoviedb.org/person/1204,Smyrna Georgia USA,-84.5147454,33.883887,4915.522165547542
Richard Gere,https://www.themoviedb.org/person/1205,Philadelphia Pennsylvania USA,-75.1635262,39.9527237,2067.7352233663323
Jason Alexander,https://www.themoviedb.org/person/1206,Newark - New Jersey - USA,-74.1723667,40.735657,711.5138716677906
Ralph Bellamy,https://www.themoviedb.org/person/1208,Chicago Illinois USA,-87.6244212,41.8755616,127.52514802895293
Elinor Donahue,https://www.themoviedb.org/person/1209,Tacoma Washington U.S.A,0.0,0.0,61.16980165229107
Hector Elizondo,https://www.themoviedb.org/person/1210,New York City New York USA,-74.0060152,40.7127281,244.1312329819367
Larry Miller,https://www.themoviedb.org/person/1211,Valley Stream Long Island New York USA,-73.68645927443026,40.6815493,696.1497719960038
Laura San Giacomo,https://www.themoviedb.org/person/1212,Hoboken New Jersey USA,-74.0323752,40.7433066,254.529001611985
Amy Yasbeck,https://www.themoviedb.org/person/1219,Cincinnati Ohio USA,-84.5124602,39.1014537,655.8746387316164
Jeff Bridges,https://www.themoviedb.org/person/1229,Los Angeles California USA,-118.242766,34.0536909,3320.5168346239466
John Goodman,https://www.themoviedb.org/person/1230,St. Louis Missouri USA,-90.1995853,38.6264256,2430.458393230522
Julianne Moore,https://www.themoviedb.org/person/1231,Fayetteville North Carolina USA,-78.878292,35.0525759,3001.168136660178
